Time, Audience01, Audience02, Audience03, Audience04, Audience05, Audience06, Audience07, Audience08, Audience09, Audience10, Audience11, Audience12, Audience13, Audience14, Audience15, Audience16 
9.7, 0.00015, 0.00281, 0.00464, 0, -0.00187, 0.02121, 0.0136, 0.00509, 0.00171, -0.01036, -0.00264, -0.0007, -0.00196, 0.00019, -0.00032, 0
9.8, 0.00036, 0.00203, 0.0039, 0, -0.00228, 0.01899, 0.00891, 0.00519, 0.00263, -0.0095, -0.00248, -0.00071, 0.00192, -0.00025, -0.00032, 0
9.9, 0.00013, 0.00065, 0.00347, 0, -0.00321, 0.01608, 0.01139, 0.00505, 0.00354, -0.00784, -0.00237, -0.00076, 0.00499, -0.0005, -0.00023, 0
10.0, 7e-05, -0.00069, 0.00335, 0, -0.00432, 0.0154, 0.01588, 0.00452, 0.00388, -0.00506, -0.00168, -0.00074, 0.00431, -0.00015, -0.00029, 0
10.1, 0.00025, -0.00127, 0.00318, 0, -0.0044, 0.01489, 0.02246, 0.00486, 0.00385, -0.0022, -0.00036, -0.00079, 0.00313, -5e-05, -0.00023, 0
10.2, 0.00044, -0.0018, 0.00265, 0, -0.0044, 0.01235, 0.02596, 0.0054, 0.0037, -0.00038, 0.00081, -0.00082, 0.00259, 7e-05, -0.00031, 0
10.3, 0.00054, -0.00179, 0.00238, 0, -0.00329, 0.01042, 0.02145, 0.00275, 0.00344, 0.00057, 0.0014, -0.0008, 0.0013, 0.00026, -0.00031, 0
10.4, 0.00075, -0.00117, 0.00198, 0, -0.00131, 0.01008, 0.01432, -0.00112, 0.00323, -0.00077, 0.00172, -0.00087, 0.00018, 0.00087, -0.00024, 0
10.5, 0.00086, -0.00102, 0.00137, 0, 0.00038, 0.00855, 0.00522, -0.00129, 0.00334, -0.00378, 0.00223, -0.00082, -0.00014, 0.0018, -0.00032, 0
10.6, 0.00097, -0.00104, 0.00118, 0, 0.00156, 0.00585, -0.00147, 0.0028, 0.00309, -0.00775, 0.00245, -0.0008, -0.00093, 0.00199, -0.00025, 0
